Artikelid,Varnummer
3979,7518
39809,22297
3981,7543
3985,7548
3986,7549
39868,6670
398730,5337
3988,7590
398931,5921
398937,7776
3992170,73684
3992266,90287
3992510,70093
3992513,78523
3992523,73201
3992920,90292
3992980,90306
3993254,74871
3993256,79813
3993257,72735
3993262,70300
3993267,90318
3993427,90325
3993501,90332
3993553,90348
3993868,90393
3994,7600
3994215,99158
3994349,3992
3994774,4501
3994783,2170
3994784,74308
3994795,2170
3994825,2103
3994865,5380
3994883,5370
3994945,71461
3994946,77103
3994949,78142
3994950,77258
3997920,75840
3998,7602
3999435,7921
3999736,99164
3999784,78543
3999800,78543
3999802,75391
3999807,78021
3999811,74934
3999821,73379
39999,22299
40028,7579
400446,73145
400735,5421
400751,7454
400805,29002
401895,8119
40220,7787
40234,22467
4027,7706
4028,7706
4032,7710
4033,7711
4034,7711
4035,7711
404092,7471
404116,7471
405174,7777
405186,7777
4055,7735
4058,7738
4059,7738
4060,7738
40617,7598
4064,7743
4065,7744
406812,5588
4072,7751
4073,7751
40738,32224
4074,7751
40814,5810
408205,7709
4082519,90410
4082525,99199
4082538,99210
4082569,99236
4082698,99257
4082726,99018
4082758,90423
4082770,90424
4082809,78396
4082813,79167
4082818,72607
4082889,99278
4082961,90441
40866,86883
408939,5338
409402,77133
40945,16381
409849,92203
409855,92204
40986,22424
4099586,72497
4099828,90445
4100233,90578
4100256,78586
4100290,90588
4100390,79507
4100391,75273
4100466,2124
4101993,2223
4102071,2843
4102158,78331
4102188,2090
4102291,2107
4102308,2025
4102332,90611
4102346,70380
4102350,75914
4102351,74210
4104245,2027
4104313,2013
4104346,2118
4104455,70812
4104458,77600
4104472,95090
41077,2275
411624,73342
411640,73343
412426,77136
412568,77137
412928,77138
413373,77139
41490,86996
41512,87327
415308,7701
415337,77144
41538,87077
4164260,75432
4164309,74147
4164424,2661
4164455,2029
416509,2035
4165929,2067
4165973,73918
4165980,73651
4165984,77963
4165985,76458
416660,77150
416670,77151
417412,2001
41794,32228
41807,32431
41808,7055
418361,73593
418796,77153
41888,22409
418908,73626
419256,77159
419651,73650
41989,87127
42014,32472
42093,22562
42115,87135
42116,7329
42136,32229
422161,73685
423021,77167
423414,81466
42360,7688
424885,73768
4251082,78317
4251110,77098
4251131,73794
4251138,72138
4251142,77488
425452,6523
42571,16426
42572,6376
42573,6226
426076,6290
426283,6517
426293,6539
4263146,6831
4263216,6251
4263256,7922
4263261,6263
4263276,5496
4263469,94925
4263503,90065
427716,6552
428381,75520
428457,75524
428626,7867
428987,6367
429005,7864
4295751,95153
4295771,95177
429927,7779
430019,6295
430343,77188
430684,75501
43074,87253
4310616,7923
4311027,2814
4311116,90231
4311157,96081
4311225,90331
4311243,96082
4311244,90363
4311254,2059
4311260,90479
43116,87282
431239,6522
431326,2009
43233,12808
432918,6297
432944,7865
432947,7865
433127,77332
4331758,75091
4332153,90668
4332155,2156
4332177,2063
4332212,2183
4332236,2897
433600,6381
433676,2770
4336963,77314
4338869,95187
4338890,95201
4339012,2041
4339042,95204
4339063,96083
4339086,95210
4339142,95212
4339148,96086
4339158,96087
4339163,95214
4339188,99099
434053,2478
434548,6384
434561,5340
434635,5345
434671,4130
435323,7866
43560,32417
43561,32417
43618,5899
4368703,2043
4368775,77372
4368799,90352
4368810,90545
4368839,91167
4368887,72893
4368889,5649
4368890,79582
437032,7781
4379938,31853
438155,5340
43856,7454
438880,7705
43904,22826
439776,2295
439794,2141
439824,6397
440134,77196
440193,77198
440206,77199
44023,87495
4406737,6255
4406843,74930
4406844,71865
4406845,72621
4406847,70467
4406849,76531
4406922,71164
4407580,99103
440854,6302
440891,72093
440907,72094
441072,72098
441650,2568
441755,7404
442730,2560
44298,87359
443171,7688
443177,7688
443257,76115
444874,73314
44568,6702
44603,87661
4463227,95235
4463482,72531
4463503,72876
4463504,82519
4463550,96097
448100,77216
448123,77217
448149,77218
4481907,70354
4481917,71274
4481922,78897
4481925,78575
4489,6823
44955,7436
44979,6231
45055,87799
45112,87842
45151,87843
45309,7372
4545081,79456
4545082,76736
4545492,79779
4545501,79188
4545502,79433
4545536,96100
4545546,96101
45493,87886
45653,32253
45683,87914
45700,2015
45764,22817
4586229,79149
4586250,78256
45922,7450
4602,2710
4603,6083
4608,6996
4609,6996
4620287,78454
4620295,77472
46461,87987
46765,88070
46908,5585
47017,2259
47094,88082
47166,22803
47354,22951
47567,87359
47568,87359
47570,87359
47739,5447
47888,22973
47905,2882
48017,22981
48020,6512
48044,88285
48130,88350
48182,7555
48209,5283
48235,6400
48237,6419
48486,2099
48516,22989
48783,88423
48822,6382
488660,77219
48894,22996
48960,5657
490459,77221
491108,77238
491967,2910
49218,88474
4923431,78903
49241,16011
492727,2058
49310,6139
49396,6587
494037,77248
494169,77249
494223,77250
494254,77251
494257,77252
49521,29002
49634,28002
4970,6110
497350,3204
497484,77255
49753,23050
497594,77256
4979,6226
498959,72891
49915,7395
500147,72101
501111,72322
50120,32130
501899,6521
501905,6551
50194,27004
502157,2188
50253,27003
503391,2129
503394,2129
503399,2129
5034614,71153
5034615,76724
503865,77270
503868,77271
50419,88591
504221,77274
504488,77279
504515,3023
504633,2145
505034,72465
50513,6512
507128,2167
507546,3300
507852,2836
507880,7870
507901,7871
508151,7720
508157,7720
509335,72388
509382,2769
50947,23072
509516,77288
5095733,72459
509629,77289
510331,2820
510557,7713
51073,4567
5107592,72431
5107598,71912
5107770,72569
5107771,73394
51335,7649
515259,77291
51540,32145
516810,77295
518144,2130
51928,88833
519657,2196
520029,2052
520139,2053
52128,15558
52140,28008
522168,77299
52245,88876
523054,72185
523501,72191
5245720,72832
5245724,77212
5245725,73538
5245726,73886
5245731,76366
5245732,77460
5246280,78684
5246284,77845
5246285,78768
524926,72515
52511,6607
52547,6577
526292,77304
52741,2619
52764,4153
5291675,31924
529430,77316
529635,77320
529723,72119
5304905,31922
5305747,79565
5305748,73584
5305749,71815
5305750,73220
5310917,90453
5310943,90560
5311182,90645
5311410,72286
5311416,77010
5311420,75073
53217,88943
53218,88944
53220,88946
53269,88958
53273,88959
53277,7143
533701,77324
533706,77325
5345337,75063
5345338,76074
5345340,75345
53466,88978
53475,88981
535035,77333
535086,7755
53604,89041
536753,2386
536993,77348
5372182,71174
5372183,72289
5372184,71612
5372185,74068
5372189,74595
537258,6586
537269,6527
537282,2079
537322,6265
537338,6315
537641,77355
538416,71647
53900,88946
53903,88946
540185,5461
540432,71693
540658,6470
541765,71832
541878,71904
54202,4592
542416,71928
542791,77373
543289,7732
543435,2324
543638,6040
543712,5557
543767,7873
544154,6474
545091,12379
545199,7603
545896,6723
546717,71947
548456,2097
548499,2097
5498182,76944
5498565,77328
5498576,77668
5498577,77609
5498581,70945
550082,77383
550650,82961
551318,6200
552213,7877
552225,6605
552238,2846
552272,7878
552278,7879
552297,6603
552354,2148
555564,70201
5555733,77447
5555734,77448
5555735,72402
5555737,77490
5556177,79323
5571012,77445
5571013,77446
5571131,70387
557300,77361
557310,77362
558410,77390
558421,77391
558474,77138
558737,77397
558751,77399
559874,7372
560120,22139
560124,6702
560216,71851
560271,7598
560656,2358
560688,5562
5620857,99080
5622709,90019
563688,77410
5643212,99022
5643235,94028
5643257,95092
5643288,90092
5643389,96103
5643399,90367
564842,77416
564845,77417
564861,77189
565094,6237
5653610,95257
5653622,72742
5653625,74289
5653628,78171
5653630,90373
5653780,90485
5653865,90597
5654097,91143
5654158,91202
568229,7723
571659,70448
572596,70486
572680,6597
5737353,2137
5737566,2093
5737636,77556
574728,2309
5762736,73931
5762737,72002
5764227,96359
5764233,95589
5764244,94031
5764276,90063
576640,77436
577179,70507
577491,77439
578000,70540
578442,70376
578473,70102
5784860,96011
5784903,95258
5785017,96038
578706,70617
579549,5352
579556,5353
579592,77440
579940,77443
581234,70745
582040,77452
582269,77457
5831895,94142
5832022,95114
583258,6146
5833617,90440
5833632,95263
5833777,3994
5833823,12076
583801,6485
584124,5354
584259,2352
584488,77464
585148,6600
585154,7639
585568,2222
585914,6711
585940,6803
586515,6254
586603,6282
586923,7721
587579,2086
587652,7885
587665,6707
588579,87341
590704,70015
590969,2281
591265,77481
593903,77482
593915,70401
594585,77483
594591,77484
594607,77485
5948187,75255
596655,70983
597060,12379
597264,70887
598718,6307
599131,7628
600440,70696
601205,6262
601657,5328
601796,70607
6027379,7704
6027476,3930
6027481,2220
603313,70081
603708,70637
604602,77503
6050978,70773
6051066,71881
6051079,70977
6053146,74537
609136,2730
609142,7719
611664,75068
6116729,99144
6116864,72824
612742,77514
612859,75268
612965,75972
6145366,82808
6145382,71578
6160222,95280
6160848,73707
616786,2700
616803,7784
616829,77519
616992,77521
617034,77522
617348,75253
619055,2014
619836,5361
619839,5362
620906,6595
621268,6851
621276,22337
622412,71149
622647,75666
622820,77532
623069,6680
6234761,75449
623562,6321
623680,7887
623972,77534
623986,75926
624472,2073
624794,77537
624849,77545
624858,77546
625186,2323
626004,77557
626077,72326
626155,75708
626234,2185
6284,6942
629177,2745
629207,2752
6297,7046
629756,77560
629924,6346
6303,7055
630811,2861
631019,5470
631120,2267
6314100,77583
631769,5364
632413,2716
6333516,77233
6333534,90051
634103,7749
634136,74538
634253,2144
634423,7889
634638,77563
6347,6998
635382,2690
636156,7753
6367,6997
639041,7758
639124,2241
639521,2078
639540,7890
639563,7891
641894,2133
6423119,90144
6423577,70320
6423579,75019
6423631,90649
6423645,90665
642778,77576
642943,16434
642958,77578
643240,7782
643525,2066
643702,74483
643975,6550
6441897,90489
6442125,95175
6442334,95294
6442416,95309
6442421,95311
645586,2353
647306,7403
647315,75642
647322,75325
647564,74957
647613,74944
648382,7536
648884,77595
649012,77597
650818,6355
650825,5822
651951,7758
654442,477036
655963,77611
656536,77613
656627,74536
656950,74048
6576185,99049
6576516,99115
6576585,72951
6576607,70318
6576608,71028
6576610,73380
657929,74884
658234,77622
659084,77625
659153,6804
659175,2392
659278,3302
6598935,91156
6598957,91164
660710,74710
660818,74755
661332,2609
661584,77627
662989,77630
663453,73635
663624,77633
663752,77304
664108,2357
664437,77645
665755,77650
666522,2815
667057,77660
667761,73034
668710,95151
668757,95198
670000,6131
670404,2016
670885,2260
671577,6714
671902,73829
672136,73046
672245,5368
672576,2150
672912,77663
673088,7895
673234,73142
673390,2360
673602,77673
674020,77675
674370,3023
674379,7737
674397,4350
674657,77678
675022,5369
675392,6003
675466,6708
676595,74756
676626,87327
676767,6533
676892,2398
676979,5564
677037,22826
677882,5352
677903,22335
677916,16018
678420,3204
679065,77086
679702,6261
679753,77683
679766,2147
679792,77685
6814796,77293
683575,73479
684300,77696
685381,77086
685593,6572
685850,74587
686849,2693
687227,99480
688241,72915
688638,72371
6887098,71892
6887099,76210
6887139,78773
6887140,78773
6887141,78773
6887177,76244
6887286,79546
6891261,72029
689906,77729
689909,77730
689929,77731
690181,7546
690224,77733
691019,72516
691750,7601
694305,77735
694308,77736
694471,77739
694474,77740
697035,2480
697283,2701
697317,2739
698905,72637
699467,75316
699473,7507
699739,72728
699767,77760
700030,73574
700449,72074
700501,77764
700552,77766
700993,76250
701002,72045
701589,71291
702117,77767
702149,72617
702224,7422
703231,71249
705397,77781
705736,70274
706521,76273
706524,76274
706953,6314
707159,6537
707217,71798
707297,6628
707851,6544
708171,75670
708195,75445
7084143,94816
7084150,97021
7084198,95327
7084203,90112
708548,7708
708870,71869
710549,77793
710628,6344
710862,2042
711109,2949
7116,5135
711651,2292
711771,77795
712833,2316
7134001,95330
7134012,95330
7134080,75813
7134377,96098
713614,2717
7137939,96110
7137967,96111
7139832,77555
714108,2151
714764,2291
714846,2238
715078,77797
716171,70275
716246,77807
716273,77808
716289,77809
716394,77810
716400,77811
7167,3223
717129,7407
717954,70684
718007,79054
718042,77813
718053,77815
718105,76289
718192,79069
718217,2109
718234,3147
718246,5354
718298,7897
719625,2348
7204506,77818
7204507,82236
7204510,77654
7204516,70474
7204517,72765
7209,7126
7216,7451
721640,77820
721643,77260
7221,7125
722411,2333
723547,7898
7237330,72669
7237337,71055
7237338,75741
7237347,32538
724250,77822
724293,77823
724299,77824
724425,77825
724537,79104
724566,77826
724689,2109
726065,90734
726261,79121
7266851,32551
728854,2326
728914,7719
729894,77835
730453,77836
731246,7676
731252,7742
731307,4318
731322,4597
731565,2114
731618,2847
732161,74990
732280,76293
732368,74691
732377,71663
732384,71972
732387,77840
732401,76295
732446,76296
732455,71977
732473,76301
732476,76302
732479,76303
7325,7462
732508,7696
732511,7593
732519,7594
732675,7684
732746,72722
733087,74570
7331,7463
733227,2813
733273,77852
733409,77853
733426,77854
734023,6598
7345,7185
734533,71477
734562,79168
734652,77860
734918,7547
735036,6348
735378,2049
735599,7714
735786,2028
735889,6715
736109,4124
736427,5607
736640,2731
736757,73902
737335,77648
737780,2384
7377861,70700
7377893,74449
7377894,77777
7378057,99133
7378265,99161
7378417,91231
7378418,91258
7378632,91268
737867,74915
7379006,32634
739077,7722
739117,74900
739122,74661
739325,77863
739341,77304
739366,77864
739437,77867
739458,77869
739518,77872
739820,77875
739853,77876
740007,79220
740251,79234
740408,477040
740430,71330
740646,77877
740676,75184
740724,82901
740755,79244
740761,7419
740764,76308
740813,79246
741316,71873
741396,77380
741406,77492
741508,77593
741606,77494
741668,70144
741792,2117
741805,5372
741832,77380
742604,4029
742663,6260
7428158,79943
742846,5374
742891,5375
7433,7469
7434,7469
743464,74659
744232,79271
7442860,72654
7442863,72908
7442864,72421
7442886,71244
744400,77277
744629,72734
744663,77502
744771,77381
744790,77649
744817,70988
744840,7526
744909,77883
745075,77884
745088,85980
745160,77413
745169,77412
7453,7496
745323,77508
745326,77518
745335,77206
745401,72174
745483,77885
746142,77889
747440,77893
747916,79393
747921,79394
748198,77560
748201,77560
748208,77895
748214,77896
749329,77899
7494,5901
749677,4151
749680,4151
750652,73540
7528392,32639
753007,77900
753038,82069
754492,7898
754700,77903
755201,77905
7555379,77943
7555381,76688
7555382,70658
755552,77907
7555790,95421
7556011,92030
7556083,96117
755955,6339
756309,77909
756514,77911
757970,2159
758087,2105
758183,2119
758186,6573
758376,6420
758391,6471
759276,2406
760106,2866
760219,2567
7609,2011
760906,79532
761358,77913
761462,79551
761502,70856
762157,71926
7635399,79600
7635444,77182
7635445,77449
7640668,75142
764184,2922
764759,79632
766211,79635
767734,5383
7682136,94002
7682186,99267
768221,77926
768266,77927
768269,77928
768546,76326
768976,77929
769211,79665
769820,77931
769829,77931
769835,77931
769840,77932
769847,77932
770102,70325
770181,70619
770250,77934
770420,73060
770540,77938
770563,77939
770678,79687
770836,76328
771157,79701
771560,79720
771587,77942
771736,77260
771746,77260
771759,77948
774136,77949
774322,2125
774796,74503
775922,2045
776291,2083
776431,2000
777019,79836
777287,7726
777709,3040
777770,3097
778043,79869
778266,79876
778375,7734
778384,7725
778390,6447
778804,3122
779409,3157
779863,7901
779881,6090
780838,71848
781395,79925
781408,2147
782781,79981
782834,7700
783144,79289
783740,72458
783804,72774
783814,72913
783830,72933
783842,72792
783845,72033
7842,6935
784824,72172
784948,72474
785206,72863
785397,70065
785421,70593
785439,70526
786122,2428
786139,73308
7880,2404
788116,70503
7885,2337
792931,76333
793370,79075
793373,5354
793567,70046
793798,75416
793985,70626
794041,77967
794061,74659
794122,77970
794834,73501
795110,72548
795182,77976
795185,77977
796970,77979
7970,7518
797305,74277
797790,74345
797796,74389
797973,74428
797982,74618
798037,74716
798050,74787
798157,70882
798166,77984
7983293,73404
7983294,72399
7983300,77910
799012,70476
7995,2659
800018,76367
8004209,97027
8004248,97028
8004254,95385
800520,76385
800696,76394
801033,77990
801040,6473
801049,76396
801070,2061
8014,7623
8015,7564
8016,7564
8017,5500
802061,77991
802067,77992
802245,76431
802328,6006
802460,77996
802474,6276
802490,6276
802654,77998
803134,77020
803738,77000
804495,6349
806514,6298
806947,6029
807231,6380
807497,2469
807922,76480
808018,87454
808037,7597
808064,7597
808351,77711
808578,2812
808596,4623
809854,76680
809867,77719
8110241,78045
8110246,78815
811480,77076
811791,77085
811803,77013
811806,77014
811846,2154
812448,7904
812451,23071
812454,2479
812457,2402
8174,2780
818024,71388
818124,77039
818414,71974
819196,72720
819205,72526
819332,72843
819341,76777
819350,76778
819386,77089
820156,77111
820278,6403
8229610,77623
8229612,77935
8229613,77982
8229614,77986
823006,2389
823070,77045
8231323,32648
8231874,78159
8231876,79157
8231877,74571
824504,76809
825084,72350
825418,77049
825656,77050
825755,71002
826347,75683
826657,4624
827081,77175
827297,2748
828271,6231
828540,2267
828708,5391
828711,5392
829596,77059
829742,6832
830942,22013
831148,2135
831340,76849
831347,12094
831350,70573
831407,2414
831870,77125
831980,77126
832000,77127
832201,6292
832217,6292
832425,3024
832453,77072
832499,6346
832594,77715
832801,2391
832936,75008
832939,75008
833565,72111
834002,74879
834042,74087
834103,16457
834147,2645
834259,72583
834688,77038
835008,77710
835071,77225
835074,77709
835415,7905
839109,70453
839586,77770
839633,2091
839777,8362
8399,2811
839996,3128
840128,77223
840613,77152
840719,77359
841198,72221
8412,7735
841213,76939
841284,77232
841314,77236
842231,73966
842295,7555
842305,77297
842322,77261
842826,70216
842975,70522
843033,2208
843148,73186
8432926,70451
8432929,75372
843433,77329
843472,75560
843561,77148
843586,77177
8458452,99100
8458478,99326
848708,22346
848734,6240
849427,77201
850107,76998
850140,10682
850885,77262
8516020,91243
8516085,92107
8516118,74481
8516119,72422
8516120,74733
8516122,70634
8516123,74024
8516130,78058
8516228,92113
851672,72534
852260,74312
852266,74312
852433,6446
852514,78038
852692,72972
852818,80419
852824,77265
852834,81401
852940,81603
853057,78065
853078,77213
8546526,77757
8546544,72493
854788,7610
855427,5222
855484,4320
856524,70309
856573,77131
856818,2208
856893,5395
857264,73362
857333,12330
857382,4628
857419,77190
857512,12380
857584,74376
857590,74322
857626,74280
857738,74667
858231,78141
858908,77227
858914,77228
858923,77229
858935,77242
859216,77408
859266,77080
859322,78175
859372,77204
859434,78182
859481,78183
859487,77718
859510,77083
859605,77202
859662,77203
859683,7879
859800,77092
860346,77113
8604358,76247
8604359,76990
8604360,76823
860482,77284
860554,77095
860575,77520
860670,78204
8607,6253
860934,2680
8623835,79590
8623844,79215
862417,78236
8624204,76455
8624244,78668
8624272,72068
8624273,79921
8624282,77562
8624290,79696
8624292,77968
863226,71786
863963,77169
863997,77115
864072,77240
864567,2863
865047,77023
865053,77577
865059,77491
865068,77574
865202,77253
865576,3198
865623,75113
865642,75114
866072,74353
866390,77185
8672823,78664
868277,78286
868606,77988
868626,77385
868652,77434
868675,77143
868834,73465
869029,3004
869247,73821
869770,78302
871232,7474
871482,70384
872069,78304
872075,3027
872511,70215
873095,70699
873502,74548
873511,7906
873677,7907
874072,3031
874273,76624
874344,74772
874444,3034
874992,76625
875011,74310
876272,77480
876294,77580
876841,77176
877515,77604
878401,78366
878410,77430
878984,6581
879324,12357
879935,70765
879938,76680
879941,70631
879947,70645
883526,77708
884325,74299
884546,77750
884557,71075
884639,75600
885040,75834
885043,75347
8859177,76901
8859178,77540
8859187,79888
886579,4632
886817,77017
887115,71169
887166,71163
887738,70303
887839,70227
887859,70998
887862,70981
888056,75712
888358,77510
888375,77094
888409,77646
888992,77638
890268,77477
890652,77240
890664,6008
891152,75421
891225,78498
891467,77157
891748,6307
892174,77037
892257,72745
892338,72977
8927,7738
892998,78560
894884,77305
895118,77308
895149,77309
895211,77335
895226,70100
8952612,70797
8952817,73315
895298,77360
895423,70128
895766,30103
896682,77427
897125,70754
897803,76523
898303,77357
898306,77371
898388,96024
898454,77676
898477,77118
898669,77498
899087,76649
899181,11611
900906,77575
901486,78687
901504,81603
901672,2412
902482,77489
902534,78722
903616,2849
903619,2149
904937,16022
905179,6311
905334,77259
905339,6250
905370,6271
905397,6466
9054362,78954
9054367,79654
905928,6578
906810,2157
907056,2362
907066,2413
907157,12658
907217,6313
907265,6024
907630,2416
908129,7475
908218,78767
908549,77395
908563,77395
908750,87661
909091,8365
909166,77429
909206,6813
909373,77476
909723,97044
909981,92176
910640,77694
911124,77311
9116469,74636
9116607,78478
9116608,79793
911918,77435
912041,77186
912051,75158
912845,77655
912848,77368
912851,78851
9137497,76902
9137499,72838
9137629,71227
9137634,77058
913939,77087
913949,77091
915067,77804
916219,77183
916327,77607
916389,77785
916392,77689
916419,77121
916468,77172
916471,77344
916477,77346
916887,77600
916909,77102
917131,77122
9186512,95068
9186969,73524
9188464,90056
9188469,90057
9188474,90104
9188479,90114
919955,75181
920226,77344
920235,75350
921372,77124
921419,77174
921731,77285
921991,78884
921995,78885
923566,77290
924428,6710
924621,77342
927041,6467
927816,77347
928063,2312
928785,2950
928953,3313
929730,76510
930478,72401
931180,77721
931186,78951
931241,78952
931728,78963
931737,78964
931772,78965
931821,78967
931881,78969
931953,78980
932531,72171
9330370,95425
9330454,95426
933419,72153
933428,4633
933909,77598
933928,72342
933938,2420
9349,7567
935027,3025
936583,2121
936935,2421
936962,2936
936971,2425
937881,77602
937887,77602
937898,77661
9380737,73817
9380745,73845
9380746,75315
939394,77300
939397,71265
939516,2230
939771,2252
939777,30269
940071,76594
940262,70563
940364,2274
940560,7911
940841,76603
940847,76640
941287,77035
941437,76570
942413,77065
942422,70297
942581,2284
9437966,74616
9437972,70145
9437973,71135
944564,2179
945167,75542
945977,70710
947630,6557
949073,75015
949713,76046
950591,77732
950595,77205
951031,75212
951547,75182
9516388,72151
9516389,71296
9516390,76622
9516391,71252
9516406,71588
951678,72609
951724,75416
952421,73872
952426,78900
952441,77134
952444,77500
952447,77772
952659,77617
952668,77878
953182,77727
953271,77712
953638,77025
9547206,78616
9547220,75634
954899,74390
9555927,75115
9555928,79436
9555958,78256
955634,72601
955806,77558
9560,87518
9561,87518
957471,72038
958205,2087
958883,6935
958893,2064
959572,77803
959745,76060
959759,72076
959815,72537
960353,71628
960414,71964
960443,74959
961609,71178
961750,77975
961756,77914
961759,77426
961765,77211
961881,77775
961884,77745
962111,77370
962206,77749
962282,70297
962691,72572
963317,2845
963327,2382
963476,77431
963522,77471
963728,77919
963741,77921
963756,73767
964507,77922
964511,77513
964522,77798
964569,2880
964577,6206
964592,6320
966134,77478
966137,77634
966285,77287
966332,77958
966527,2850
967020,2293
967056,77326
967074,77146
967086,77147
967089,72037
967193,77149
967227,77868
967389,77535
967413,77628
967422,2294
967425,77628
967431,2297
967452,2411
967560,76065
967888,77786
967983,77454
968735,73604
968832,71697
968981,75764
969002,76100
9692,2099
969204,74017
969426,75049
9696,2020
969768,77933
969774,77737
969792,73848
969970,77319
970272,77321
970373,76164
971402,74631
971412,73917
971875,2941
973112,2395
973131,2255
973134,2263
973327,2265
973330,2272
9736524,77128
9736525,71283
9738346,71321
9738347,70989
975223,77388
975668,12356
975717,6207
976473,6718
976493,6814
976517,2327
978584,77377
978737,77378
978763,5347
978958,71159
979026,5565
979045,6529
979070,77624
979129,5566
979156,77789
980190,77985
980736,77393
980787,3100
980800,79088
980818,2945
9808815,75511
9808816,73508
9808819,71268
981774,5483
981795,70781
981798,5484
982188,2287
982925,2714
983653,2959
984056,6030
985250,77422
987194,4635
989212,74944
989215,77268
989576,77275
989625,76150
990260,77226
990621,6221
991120,72115
991510,77523
991558,77656
991591,77658
991606,75547
991621,77298
991633,77687
991698,77496
991839,77032
992055,72805
992180,74201
9924,6045
992412,77140
9925,6045
992649,77796
992671,7740
992749,7875
993066,90167
993085,72890
993602,2328
994108,2330
994118,2330
994151,2313
994573,99357
995844,72445
995976,77015
997867,76230
998116,77994
998287,77170
999510,77990
999628,77234
999878,77640
999951,77641
999983,82190
