Region;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990
South Australia;5;5;5;3;2;5;4;4;3;4;4;3;4;4;4;3;3;5;3;4;3;5;3;3;4;4
Champagne;4;4;4;4;2;3;4;4;3;4;4;4;3;5;1;2;4;3;2;5;4;2;3;2;2;5
Rhonedalen;4.50;3.50;4;4;3;4.50;4.50;3;4.50;4;5;4;3.50;1.50;4;4.50;5;5;3.50;3;5;4;3;2;3;5
Bourgogne;4.50;4.50;3;3.50;2.50;4;4.50;3;3;2.50;4;2.50;2.50;4;2.50;3.50;4;3.50;4;5;4.50;3;3.50;3.50;3;4.50
Bordeaux;4;3.50;3;3;4;4;4;3.50;3.50;3;5;3;4;3.50;4.50;3.50;4;3.50;3.50;4;4;3.50;2.50;2;2;5
Toscana;5;3;4;3;4;3;3;3;4;4;2;4;3;2;4;3;4;4;5;3;5;3;4;1;3;5
Piemonte;4;3;4;4;3;4;3;4;4;4;2;4;3;2;4;4;3;5;5;4;4;2;3;2;3;5
Marlborough;5;5;4;3;4;5;4;;;;;;;;;;;;;;;;;;;
Vintage Port;5;4;3;3;5;4;4;3;4;3;5;3;4;2;3;4;1;3;4;2;3;5;1;4;4;2
Priorat;4;4;4;4;4;5;4;;;;;;;;;;;;;;;;;;;
Rioja;5;3;3;4;4;5;4;3;4;3;4;4;3;3;5;3;4;4;3;4;5;5;3;3;3;4
Coastal Region;4;3;4;4;3;3;5;;;;;;;;;;;;;;;;;;;
Mosel-Saar-Ruwer;5;3;3;4;3;4;5;4;4;3;4;4;3;4;5;3;4;4;4;4;4;4;4;4;3;5
Kalifornien;5;4;5;5;4;3;4;4;3;4;3;3;4;3;5;3;4;3;5;4;5;4;3;4;5;4
Wachau;4;2;4;4;4;3;4;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;